10/17 05:51:00.441|EXEC_START  |
--/-- --:--:--.---|INFO        |[/data/MERGE/app/data/WE0203200/BACKUP/20241017055100_ha0000mvvv000980e41i96psp55o_backup//S3Backup]ディレクトリを作成しました。
10/17 05:51:00.926|END         |
10/17 05:51:00.926|START       |NAME=契約状況コードT用Dir作成 [file_operation_adapter/make_directory]
--/-- --:--:--.---|INFO        |[/data/MERGE/app/data/WE0203200/BACKUP/20241017055100_ha0000mvvv000980e41i96psp55o_backup//code]ディレクトリを作成しました。
10/17 05:51:00.928|END         |
10/17 05:51:00.928|START       |NAME=各種コード管理T(042)取得 [amazon_rds_postgresql_adapter/execute_select_query]
--/-- --:--:--.---|INFO        |[各種コード管理T(042)取得(177_サポートサービス等応対情報取込@5313f4c5)]PSP処理を開始しました。
10/17 05:51:00.930|END         |
10/17 05:51:00.930|START       |NAME=契約状況コードTファイル出力 [csv_adapter/put_data]
--/-- --:--:--.---|INFO        |[1]行のデータを挿入しました。
10/17 05:51:00.934|END         |
--/-- --:--:--.---|INFO        |[1]件のデータの抽出に成功しました。
--/-- --:--:--.---|INFO        |[各種コード管理T(042)取得(177_サポートサービス等応対情報取込@5313f4c5)]PSP処理を終了しました。
10/17 05:51:00.935|START       |NAME=S3内ファイル取得 [amazon_s3_adapter/get]
10/17 05:51:02.085|END         |
10/17 05:51:02.085|START       |NAME=対象ファイル一覧取得 [file_operation_adapter/list_file]
--/-- --:--:--.---|INFO        |[/data/MERGE/app/temp/20241017055100_ha0000mvvv000980e41i96psp55o_WE0203]ディレクトリのファイル名一覧を取得しました。
10/17 05:51:02.087|END         |
10/17 05:51:02.087|START       |NAME=作業対象ファイル抽出 
10/17 05:51:02.089|END         |
10/17 05:51:02.089|LOOP_START  |NAME=foreach（ファイル件数）
10/17 05:51:02.090|START       |NAME=取込ファイル名設定 
--/-- --:--:--.---|VARIABLE    |NAME=取込ファイル名, VALUE=031-000_20241017.csv
--/-- --:--:--.---|INFO        |取込ファイル名(String) 入力=[031-000_20241017.csv]
--/-- --:--:--.---|VARIABLE    |NAME=エラーCSVファイル名, VALUE=031-000_20241017_ERROR.csv
--/-- --:--:--.---|INFO        |エラーCSVファイル名(String) 入力=[031-000_20241017_ERROR.csv]
10/17 05:51:02.090|END         |
10/17 05:51:02.090|START       |NAME=S3バックアップDirにコピー [file_operation_adapter/copy_file]
--/-- --:--:--.---|INFO        |[/data/MERGE/app/temp/20241017055100_ha0000mvvv000980e41i96psp55o_WE0203/031-000_20241017.csv]ファイル/ディレクトリをコピーしました。
--/-- --:--:--.---|INFO        |[1]件をコピーしました。
10/17 05:51:02.096|END         |
10/17 05:51:02.096|START       |NAME=作業用ディレクトリに移動 [file_operation_adapter/move_file]
--/-- --:--:--.---|INFO        |[/data/MERGE/app/temp/20241017055100_ha0000mvvv000980e41i96psp55o_WE0203/031-000_20241017.csv]ファイル/ディレクトリを移動しました。
--/-- --:--:--.---|INFO        |[1]件を移動しました。
10/17 05:51:02.100|END         |
10/17 05:51:02.100|START       |NAME=ファイル取込 
10/17 05:51:02.101|SCRIPT_START|SCRIPT=sub/200_ファイル取込, PROJECT=【データ連携HUB】WE0203_サポートサービス等応対情報取込, REPOSITORY=/home/z098847/projects/【データ連携HUB】WE0203_サポートサービス等応対情報取込, VERSION=24
--/-- --:--:--.---|VARIABLE    |NAME=取込対象ファイル, VALUE=/data/MERGE/app/data/WE0203200/BACKUP/20241017055100_ha0000mvvv000980e41i96psp55o_backup/031-000_20241017.csv
--/-- --:--:--.---|VARIABLE    |NAME=契約状況コードTファイル, VALUE=/data/MERGE/app/data/WE0203200/BACKUP/20241017055100_ha0000mvvv000980e41i96psp55o_backup/code/code042.csv
10/17 05:51:02.101|START       |NAME=取込ファイル読込 [csv_adapter/get_data]
--/-- --:--:--.---|INFO        |[353]行のデータを抽出しました。
10/17 05:51:02.110|END         |
10/17 05:51:02.110|START       |NAME=取込ファイル編集 
10/17 05:51:02.119|END         |
10/17 05:51:02.119|START       |NAME=UPSERT対象ファイルに出力 [csv_adapter/put_data]
--/-- --:--:--.---|INFO        |[343]行のデータを挿入しました。
10/17 05:51:02.124|END         |
10/17 05:51:02.124|SCRIPT_END  |EXIT_STATUS=0
10/17 05:51:02.124|END         |
10/17 05:51:02.124|START       |NAME=応対結果連携 
10/17 05:51:02.125|SCRIPT_START|SCRIPT=com/001_応対結果連携, PROJECT=【データ連携HUB】WE0203_サポートサービス等応対情報取込, REPOSITORY=/home/z098847/projects/【データ連携HUB】WE0203_サポートサービス等応対情報取込, VERSION=185
--/-- --:--:--.---|VARIABLE    |NAME=正常件数, VALUE=0
--/-- --:--:--.---|VARIABLE    |NAME=機能ID, VALUE=WE0203
--/-- --:--:--.---|VARIABLE    |NAME=エラーCSVファイル名, VALUE=031-000_20241017_ERROR.csv
--/-- --:--:--.---|VARIABLE    |NAME=レコードタイプＩＤ, VALUE=0122v000002BEILAA4
--/-- --:--:--.---|VARIABLE    |NAME=作業用ディレクトリ, VALUE=/data/MERGE/app/data/WE0203200/BACKUP/20241017055100_ha0000mvvv000980e41i96psp55o_backup
--/-- --:--:--.---|VARIABLE    |NAME=サービス名, VALUE=オフィスまるごとサポート（ITサポート）／SO含む
--/-- --:--:--.---|VARIABLE    |NAME=異常件数, VALUE=0
--/-- --:--:--.---|VARIABLE    |NAME=エラーディレクトリ, VALUE=/data/MERGE/app/data/WE0203200/ERROR/20241017055100_ha0000mvvv000980e41i96psp55o_error
--/-- --:--:--.---|VARIABLE    |NAME=UPSERT対象ファイル, VALUE=031-000_20241017.csv
--/-- --:--:--.---|VARIABLE    |NAME=機能名, VALUE=サポートサービス等応対情報取込
10/17 05:51:02.126|TRY_START   |NAME=try_catch
10/17 05:51:02.126|START       |NAME=SFDCセッション取得 
10/17 05:51:02.126|SCRIPT_START|SCRIPT=セッションファイル生成, PROJECT=【次期CRM先行】共通処理部品, REPOSITORY=/home/z098334/projects/【次期CRM先行】共通処理部品, VERSION=8
10/17 05:51:02.126|START       |NAME=セッションファイル存在確認 [file_operation_adapter/check_exist_file]
10/17 05:51:02.126|END         |
10/17 05:51:02.126|BRANCH_START|NAME=if
--/-- --:--:--.---|EVALUATION  |NAME=ファイル無し, RESULT=false
10/17 05:51:02.126|START       |NAME=セッションファイル読取1 [csv_adapter/get_data]
--/-- --:--:--.---|INFO        |[1]行のデータを抽出しました。
10/17 05:51:02.128|END         |
10/17 05:51:02.128|START       |NAME=変数代入1 
--/-- --:--:--.---|VARIABLE    |NAME=サーバURL, VALUE=https://ntt-east-crm.my.salesforce.com/services/Soap/u/43.0
--/-- --:--:--.---|INFO        |サーバURL(String) 入力=[https://ntt-east-crm.my.salesforce.com/services/Soap/u/43.0]
